"address","name","symbol","mc","liqPercent"
"6bPFbxgpsFZg6WDruj7vrodq4GY7K7TmqUnAm1byu3PW","bon shatiro","BON",252173.8591217781,0.17135555827340332
"H1aN3vcvB68eaFPbMkoAss3vnfi4AhP5C2dpnrZzdBc7","Myra","MYRA",2146830.4664779166,0.17127186229009234
"54gCkTZSd3BLCaLp6LVvUYKtg4zVEyQ7o3cRDBmp5hnP","NANCY BULLOSI","BULLOSI",131066.70892608954,0.1711445395225401
"46VJ1epaVn3zT8k7T1558hr2cKhD345qw9QYGgVTGjE7","MemeTV","MTV",488492.01766519627,0.17105911593491552
"6dyYaeXz69eRNUtKGcEq2gaxaWxVxu8j3TSecFA1KUEM","thomas","thomas",245320.35991038283,0.1705430565889017
"JBUq44EqPxpM6PAZG8GptpUBLxE9okvd4BFgns4Ze5TV","emo cat","emocat",292656.2926390226,0.1699203372199021
"H8cstTfTxPEm5qP3UXgga8Bdzm2MCDGAghJTgovPy6Y1","KOOL-AID MAN","OHYEAH",215059.68956962784,0.169273243334198
"7sEzyEQpcyn1mS6f4gMFpZyfW1jFNpcaSF4fsUupZ5YX","NoBonk","NOBONK",116018.65448844367,0.16893559444501194
"8shTEDxbwvM2C9ELXNHsh8pmkoWovzJ3xgazQFWFapMx","PUPPA","$PUPPA",478712.56056378665,0.16893364516782666
"448qDsnKtBDhGeA4pYsX1t9uQmavxcUeAE7QEfroYJ2a","AQUACAT","AQUACAT",781992.639191336,0.16841435039579883
"4px8A4VFpxWWFoduF37LKw9cAdMXxjbRBCgSJHQLEH5g","DOJO","DOJO",406006.6087385021,0.1681065708899198
"8Ki8DpuWNxu9VsS3kQbarsCWMcFGWkzzA8pUPto9zBd5","LOCK IN","LOCKIN",259754.9559016375,0.1680196094634598
"9xYeZDHEwyuqJmqrTourbFRaxN2qhkYesnz3iQ3FPz4r","ELMNT","ELMNT",128649.87858744153,0.16797722074816954
"5kuqJXVv4pAqCiMko3Bqwh3n97CSr7LjVdcnCKcBB8YB","PoopCat","POOP",457788.33805428504,0.16741060476470604
"6PzAAqShVBAdmigsM2Zq5DWkNVCFeaimiJWcgeTsy4vq","Ran Mooner","RAN",494548.66408382985,0.16729326164242564
"EYU2k7HZ2JwGqXwRcNtiga4QkVaNnKMP5H1rnkcH7D3w","BOOK OF NOTHING","BON",108905.67545458835,0.16728201747629698
"C46fj9922NZWFsjePXNiwAJFWTmhDRrAotVCyjtDxJCc","Wrinkle The Duck","WRINKLE",237140.95485731866,0.16725352440513633
"uu1LWw5Lu6NUTHPE25To6ycyX8Cy1pdVvYAWVFzwe5D","Aprilfools drop","$Fools",685686.1047115943,0.1671769243142379
"CjXMsPZGGvsaqTZAo1pNcp1qckriFRiYJBivHew87vHW","E-GOD","EGOD",383188.1423513421,0.16700969834515803
"Hysb6TsTBG4aJ1tyoo3egij5GvrnxvNBHDi6SDzSGuwt","NIGGOLAS CAGE","NIGGOLAS",154275.19863581622,0.16617559292092518
"31GUGbRSct8MsJJnditGy98xMxowq58sFsZ9CGQRMLT8","BananaCat","BCAT",354783.61082727445,0.1661153823660273
"G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd","My cat Bella","$bella",446652.5194487755,0.16555205350753455
"GrbQsodqQpReYiCw4qTGZgpXNVcGr63YhmC118fT7k6Q","Solana Classic","SCLASSIC",234079.69860694147,0.1651176395071581
"G9BJzTJ95J7tN64yv2Wi2sAKwawF8YKXSHTjsEuDy6cm","CocaineMitch","MITCH",112275.56139304914,0.16511652519385667
"3Gjckk5jXnJffBruUS2EEYhpiDEN6z5TPXLkFVHkSkkg","IMARO","IMARO",1077650.1437509179,0.16468408312724192
"6AYT29gsscKvtm6Yrr7Vji4rxptz4LD7WvfPxabDNNia","ManoRuka","ManoRuka",122687.62123027885,0.16454608619995822
"GmEXg8FwpULzVb15r41CNB5qFnRcXCrEyZSmD3X7sv2e","Good Boy","boy",1335274.522380321,0.16438627720445517
"n7EksMkvk3WT5FjQ3HBMLm9XYU3EnoXUSJ7PoWpxsoG","ZAZU","ZAZU",435112.1278216301,0.16403252932762485
"8hN217wBBgRkDiyzabLmSuS95pxX5PFcv3HEM5Ha4ZEv","Roger","Roger",985969.4604519637,0.16376209576277143
"E4Q5pLaEiejwEQHcM9GeYSQfMyGy8DJ4bPWgeYthn24v","Ada","ADA",2367854.352572815,0.16329633289890155
"AfcvNFud8cQPKpCZtW8GBsJqi2LJNztFPu8d4vciveL3","London","$LONDON",256601.56172317266,0.1625007397733151
"6CBm8B8uoCUZWjs9n32BNy4z6LjGj4etBH2X48JWVhzf","BRAH SUPPS INTL.","BRAH",526814.9182978224,0.1618830735492697
"3bSGnqj1GLk5SxU5QEv8cEeLL1rwK5ETZbDxLkoAVPWC","AxiaZoi","AZ",213316.1386148554,0.16167180978770365
"Eb6AGbkhow75fgJshgZEpZN1S3P11GdQRXEWX7pvzka3","Indian Coin","INDIA",265339.94537162577,0.16118203852370555
"6DSqVXg9WLTWgz6LACqxN757QdHe1sCqkUfojWmxWtok","Solanacorn","CORN",1217138.040052072,0.16100735506035638
"2evVcWVLLDstSBJjXGf7WBzFp8GgE58B48uAPvf5UrND","DogWefHat","wef",342667.67396857,0.1606025813754081
"AZ7ABJtSeZoFHhNzWhMVREMgGKZVCN8nEZwQfyZdALSZ","borack omaba","omaba",247737.32699282747,0.16037454662578776
"5RDHUiwLChkKfusxeu9kEDUtRfxsDWV8etoopnZMwVM7","Wall Street Bets Solana","WSBS",2133157.0107132993,0.16026306787105574
"4pPMX85G5t6M8hoKvdsbRDGbMkXxRg1vefcQ7MVjjMKM","Nayeb Bekele","Bekele",196501.36925818372,0.16017097806535574
"921MoB1U7VprQfWw5D37a38LCBgB3nareT7rNffk66BG","Monkey","MONKEY",914158.4608770016,0.15928098064347485
"ptsd3CfvHmt5ZyFeejbeZUukxNjHfPswefgCf2qxTLv","Post Traumatic Solana Disorder","PTSD",171246.94419744972,0.15899295071781439
"aHex97jnStNspT74gsCLWh3zicdgNvRgD9QxBDpHFwA","Faggy Delights","FD",667780.8346708132,0.1589859132909872
"8D1nUMJQam54o34Kj2knFhSTaWoehEr4mBc7LfiDdCqq","Sharbi","SHARBI",891132.703862258,0.15898589750571168
"49ztDWXk7qEfz8Y1t8owmhLhewiA3ptVNPpRGAjRd8Wh","Nyan Cat","NYAN",353832.66240327124,0.1586565062445626
"GKZbA2gDzw3MoxbfRsnrJTNi5uBDrnrz9bq1pNnx6kv","GameBoy","GBOY",295926.42276606185,0.1584263818299493
